dataset_name,classifier_name,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time,train_time_std
PickupGestureWiimoteZ,EAP_LOOCV,18.101514753,,,,,18.101514753,0.0
ShakeGestureWiimoteZ,EAP_LOOCV,20.590636867,,,,,20.590636867,0.0
Wine,EAP_LOOCV,2.653438463,,,,,2.653438463,0.0
FaceFour,EAP_LOOCV,7.793839283,,,,,7.793839283,0.0
Car,EAP_LOOCV,19.950061053,,,,,19.950061053,0.0
Meat,EAP_LOOCV,16.817625812,,,,,16.817625812,0.0
Lightning2,EAP_LOOCV,144.628450058,,,,,144.628450058,0.0
Herring,EAP_LOOCV,12.487922244,,,,,12.487922244,0.0
Lightning7,EAP_LOOCV,48.891641415,,,,,48.891641415,0.0
DodgerLoopDay,EAP_LOOCV,92.080688113,,,,,92.080688113,0.0
DodgerLoopGame,EAP_LOOCV,7.697075986,,,,,7.697075986,0.0
DodgerLoopWeekend,EAP_LOOCV,8.599323609,,,,,8.599323609,0.0
HouseTwenty,EAP_LOOCV,447.452105172,,,,,447.452105172,0.0
ToeSegmentation2,EAP_LOOCV,7.337577996,,,,,7.337577996,0.0
BME,EAP_LOOCV,1.212992979,,,,,1.212992979,0.0
UMD,EAP_LOOCV,2.525788697,,,,,2.525788697,0.0
ECG200,EAP_LOOCV,7.202897509,,,,,7.202897509,0.0
GunPoint,EAP_LOOCV,2.26846026,,,,,2.26846026,0.0
ShapeletSim,EAP_LOOCV,38.217473177,,,,,38.217473177,0.0
Trace,EAP_LOOCV,17.16664217,,,,,17.16664217,0.0
ACSF1,EAP_LOOCV,418.808025208,,,,,418.808025208,0.0
Fungi,EAP_LOOCV,1.299910541,,,,,1.299910541,0.0
Plane,EAP_LOOCV,8.710092325,,,,,8.710092325,0.0
ArrowHead,EAP_LOOCV,2.092216598,,,,,2.092216598,0.0
Ham,EAP_LOOCV,136.55178559,,,,,136.55178559,0.0
Worms,EAP_LOOCV,986.901210768,,,,,986.901210768,0.0
WormsTwoClass,EAP_LOOCV,986.826612999,,,,,986.826612999,0.0
InsectEPGSmallTrain,EAP_LOOCV,8.062767732,,,,,8.062767732,0.0
ToeSegmentation1,EAP_LOOCV,6.9670488,,,,,6.9670488,0.0
SmoothSubspace,EAP_LOOCV,1.43200961,,,,,1.43200961,0.0
GesturePebbleZ1,EAP_LOOCV,86.838461101,,,,,86.838461101,0.0
GesturePebbleZ2,EAP_LOOCV,110.035482989,,,,,110.035482989,0.0
InsectEPGRegularTrain,EAP_LOOCV,72.640047503,,,,,72.640047503,0.0
PigAirwayPressure,EAP_LOOCV,789.679165993,,,,,789.679165993,0.0
PigArtPressure,EAP_LOOCV,778.490147443,,,,,778.490147443,0.0
PigCVP,EAP_LOOCV,1871.858793032,,,,,1871.858793032,0.0
DiatomSizeReduction,EAP_LOOCV,0.699778599,,,,,0.699778599,0.0
GestureMidAirD1,EAP_LOOCV,67.294642693,,,,,67.294642693,0.0
GestureMidAirD2,EAP_LOOCV,57.938868953,,,,,57.938868953,0.0
GestureMidAirD3,EAP_LOOCV,73.677057358,,,,,73.677057358,0.0
Fish,EAP_LOOCV,58.756675186,,,,,58.756675186,0.0
PowerCons,EAP_LOOCV,40.893416182,,,,,40.893416182,0.0
Chinatown,EAP_LOOCV,0.260608977,,,,,0.260608977,0.0
OSULeaf,EAP_LOOCV,141.609508943,,,,,141.609508943,0.0
GunPointAgeSpan,EAP_LOOCV,6.846400032,,,,,6.846400032,0.0
GunPointMaleVersusFemale,EAP_LOOCV,10.997806198,,,,,10.997806198,0.0
GunPointOldVersusYoung,EAP_LOOCV,12.247211045,,,,,12.247211045,0.0
Earthquakes,EAP_LOOCV,1053.8383631,,,,,1053.8383631,0.0
Haptics,EAP_LOOCV,456.317778087,,,,,456.317778087,0.0
Computers,EAP_LOOCV,1665.547241764,,,,,1665.547241764,0.0
DistalPhalanxOutlineAgeGroup,EAP_LOOCV,36.912378318,,,,,36.912378318,0.0
DistalPhalanxTW,EAP_LOOCV,28.795402307,,,,,28.795402307,0.0
MiddlePhalanxTW,EAP_LOOCV,23.101790289,,,,,23.101790289,0.0
MiddlePhalanxOutlineAgeGroup,EAP_LOOCV,27.534085486,,,,,27.534085486,0.0
SyntheticControl,EAP_LOOCV,56.338022489,,,,,56.338022489,0.0
ProximalPhalanxOutlineAgeGroup,EAP_LOOCV,26.537105457,,,,,26.537105457,0.0
ProximalPhalanxTW,EAP_LOOCV,12.924092615,,,,,12.924092615,0.0
SonyAIBORobotSurface1,EAP_LOOCV,0.598751615,,,,,0.598751615,0.0
InlineSkate,EAP_LOOCV,827.401834656,,,,,827.401834656,0.0
EOGHorizontalSignal,EAP_LOOCV,2724.095937309,,,,,2724.095937309,0.0
EOGVerticalSignal,EAP_LOOCV,2826.905206829,,,,,2826.905206829,0.0
LargeKitchenAppliances,EAP_LOOCV,5202.240369765,,,,,5202.240369765,0.0
RefrigerationDevices,EAP_LOOCV,2817.149199035,,,,,2817.149199035,0.0
ScreenType,EAP_LOOCV,2822.285365482,,,,,2822.285365482,0.0
SmallKitchenAppliances,EAP_LOOCV,4445.415674477,,,,,4445.415674477,0.0
CricketX,EAP_LOOCV,292.458344787,,,,,292.458344787,0.0
CricketY,EAP_LOOCV,277.823719202,,,,,277.823719202,0.0
CricketZ,EAP_LOOCV,277.684393234,,,,,277.684393234,0.0
Adiac,EAP_LOOCV,39.242800825,,,,,39.242800825,0.0
DistalPhalanxOutlineCorrect,EAP_LOOCV,46.70980645,,,,,46.70980645,0.0
ECGFiveDays,EAP_LOOCV,0.683872559,,,,,0.683872559,0.0
MiddlePhalanxOutlineCorrect,EAP_LOOCV,38.572833401,,,,,38.572833401,0.0
ProximalPhalanxOutlineCorrect,EAP_LOOCV,34.963285508,,,,,34.963285508,0.0
SemgHandGenderCh2,EAP_LOOCV,22598.645820793,,,,,22598.645820793,0.0
